Date,Collect,Feast,Color
08-09,"Let thy merciful ears, O Lord, be open to the prayers of thy humble servants, and that they may obtain their petitions, make them to ask such things as shall please thee, through Jesus Christ our Lord. Amen.",The Tenth Sunday after Trinity,Green
08-10,"Let thy merciful ears, O Lord, be open to the prayers of thy humble servants, and that they may obtain their petitions, make them to ask such things as shall please thee, through Jesus Christ our Lord. Amen.",The Monday in the Eleventh Week After Trinity,Green
08-11,"Let thy merciful ears, O Lord, be open to the prayers of thy humble servants, and that they may obtain their petitions, make them to ask such things as shall please thee, through Jesus Christ our Lord. Amen.",The Tuesday in the Eleventh Week After Trinity,Green
08-12,"Let thy merciful ears, O Lord, be open to the prayers of thy humble servants, and that they may obtain their petitions, make them to ask such things as shall please thee, through Jesus Christ our Lord. Amen.",The Wednesday in the Eleventh Week After Trinity,Green
08-13,"Let thy merciful ears, O Lord, be open to the prayers of thy humble servants, and that they may obtain their petitions, make them to ask such things as shall please thee, through Jesus Christ our Lord. Amen.",The Thursday in the Eleventh Week After Trinity,Green
08-14,"Let thy merciful ears, O Lord, be open to the prayers of thy humble servants, and that they may obtain their petitions, make them to ask such things as shall please thee, through Jesus Christ our Lord. Amen.",The Friday in the Eleventh Week After Trinity,Green
08-15,"Let thy merciful ears, O Lord, be open to the prayers of thy humble servants, and that they may obtain their petitions, make them to ask such things as shall please thee, through Jesus Christ our Lord. Amen.",The Saturday in the Eleventh Week After Trinity,Green
08-16,"O God, who declarest thy almighty power most chiefly in showing mercy and pity: Mercifully grant unto us such a measure of thy grace, that we, running the way of thy commandments, may obtain thy gracious promises, and be made partakers of thy heavenly treasure, through Jesus Christ our Lord. Amen.",The Eleventh Sunday after Trinity,Green
08-17,"O God, who declarest thy almighty power most chiefly in showing mercy and pity: Mercifully grant unto us such a measure of thy grace, that we, running the way of thy commandments, may obtain thy gracious promises, and be made partakers of thy heavenly treasure, through Jesus Christ our Lord. Amen.",The Monday in the Twelfth Week After Trinity,Green
08-18,"O God, who declarest thy almighty power most chiefly in showing mercy and pity: Mercifully grant unto us such a measure of thy grace, that we, running the way of thy commandments, may obtain thy gracious promises, and be made partakers of thy heavenly treasure, through Jesus Christ our Lord. Amen.",The Tuesday in the Twelfth Week After Trinity,Green
08-19,"O God, who declarest thy almighty power most chiefly in showing mercy and pity: Mercifully grant unto us such a measure of thy grace, that we, running the way of thy commandments, may obtain thy gracious promises, and be made partakers of thy heavenly treasure, through Jesus Christ our Lord. Amen.",The Wednesday in the Twelfth Week After Trinity,Green
08-20,"O God, who declarest thy almighty power most chiefly in showing mercy and pity: Mercifully grant unto us such a measure of thy grace, that we, running the way of thy commandments, may obtain thy gracious promises, and be made partakers of thy heavenly treasure, through Jesus Christ our Lord. Amen.",The Thursday in the Twelfth Week After Trinity,Green
08-21,"O God, who declarest thy almighty power most chiefly in showing mercy and pity: Mercifully grant unto us such a measure of thy grace, that we, running the way of thy commandments, may obtain thy gracious promises, and be made partakers of thy heavenly treasure, through Jesus Christ our Lord. Amen.",The Friday in the Twelfth Week After Trinity,Green
08-22,"O God, who declarest thy almighty power most chiefly in showing mercy and pity: Mercifully grant unto us such a measure of thy grace, that we, running the way of thy commandments, may obtain thy gracious promises, and be made partakers of thy heavenly treasure, through Jesus Christ our Lord. Amen.",The Saturday in the Twelfth Week After Trinity,Green
08-23,"Almighty and everlasting God, who art always more ready to hear than we are to pray, and art wont to give more than either we desire or deserve: Pour down upon us the abundance of thy mercy, forgiving us those things whereof our conscience is afraid, and giving us those good things which we are not worthy to ask, but through the merits and mediation of Jesus Christ, thy Son, our Lord. Amen.",The Twelfth Sunday after Trinity,Green
08-24,"O almighty and everlasting God, who didst give to thine apostle Bartholomew grace truly to believe and to preach thy word: Grant, we beseech thee, unto thy church, to love that word which he believed, and both to preach and receive the same, through Jesus Christ our Lord. Amen.","Saint Bartholomew, Apostle and Martyr",Red
08-25,"Almighty and everlasting God, who art always more ready to hear than we are to pray, and art wont to give more than either we desire or deserve: Pour down upon us the abundance of thy mercy, forgiving us those things whereof our conscience is afraid, and giving us those good things which we are not worthy to ask, but through the merits and mediation of Jesus Christ, thy Son, our Lord. Amen.",The Tuesday in the Thirteenth Week After Trinity,Green
08-26,"Almighty and everlasting God, who art always more ready to hear than we are to pray, and art wont to give more than either we desire or deserve: Pour down upon us the abundance of thy mercy, forgiving us those things whereof our conscience is afraid, and giving us those good things which we are not worthy to ask, but through the merits and mediation of Jesus Christ, thy Son, our Lord. Amen.",The Wednesday in the Thirteenth Week After Trinity,Green
08-27,"Almighty and everlasting God, who art always more ready to hear than we are to pray, and art wont to give more than either we desire or deserve: Pour down upon us the abundance of thy mercy, forgiving us those things whereof our conscience is afraid, and giving us those good things which we are not worthy to ask, but through the merits and mediation of Jesus Christ, thy Son, our Lord. Amen.",The Thursday in the Thirteenth Week After Trinity,Green
08-28,"Almighty and everlasting God, who art always more ready to hear than we are to pray, and art wont to give more than either we desire or deserve: Pour down upon us the abundance of thy mercy, forgiving us those things whereof our conscience is afraid, and giving us those good things which we are not worthy to ask, but through the merits and mediation of Jesus Christ, thy Son, our Lord. Amen.",The Friday in the Thirteenth Week After Trinity,Green
08-29,"Almighty and everlasting God, who art always more ready to hear than we are to pray, and art wont to give more than either we desire or deserve: Pour down upon us the abundance of thy mercy, forgiving us those things whereof our conscience is afraid, and giving us those good things which we are not worthy to ask, but through the merits and mediation of Jesus Christ, thy Son, our Lord. Amen.",The Saturday in the Thirteenth Week After Trinity,Green
08-30,"Almighty and merciful God, of whose only gift it cometh that thy faithful people do unto thee true and laudable service: Grant, we beseech thee, that we may so faithfully serve thee in this life, that we fail not finally to attain thy heavenly promises, through the merits of Jesus Christ our Lord. Amen.",The Thirteenth Sunday after Trinity,Green
08-31,"Almighty and merciful God, of whose only gift it cometh that thy faithful people do unto thee true and laudable service: Grant, we beseech thee, that we may so faithfully serve thee in this life, that we fail not finally to attain thy heavenly promises, through the merits of Jesus Christ our Lord. Amen.",The Monday in the Fourteenth Week After Trinity,Green
09-01,"Almighty and merciful God, of whose only gift it cometh that thy faithful people do unto thee true and laudable service: Grant, we beseech thee, that we may so faithfully serve thee in this life, that we fail not finally to attain thy heavenly promises, through the merits of Jesus Christ our Lord. Amen.",The Tuesday in the Fourteenth Week After Trinity,Green
09-02,"Almighty and merciful God, of whose only gift it cometh that thy faithful people do unto thee true and laudable service: Grant, we beseech thee, that we may so faithfully serve thee in this life, that we fail not finally to attain thy heavenly promises, through the merits of Jesus Christ our Lord. Amen.",The Wednesday in the Fourteenth Week After Trinity,Green
09-03,"Almighty and merciful God, of whose only gift it cometh that thy faithful people do unto thee true and laudable service: Grant, we beseech thee, that we may so faithfully serve thee in this life, that we fail not finally to attain thy heavenly promises, through the merits of Jesus Christ our Lord. Amen.",The Thursday in the Fourteenth Week After Trinity,Green
09-04,"Almighty and merciful God, of whose only gift it cometh that thy faithful people do unto thee true and laudable service: Grant, we beseech thee, that we may so faithfully serve thee in this life, that we fail not finally to attain thy heavenly promises, through the merits of Jesus Christ our Lord. Amen.",The Friday in the Fourteenth Week After Trinity,Green
09-05,"Almighty and merciful God, of whose only gift it cometh that thy faithful people do unto thee true and laudable service: Grant, we beseech thee, that we may so faithfully serve thee in this life, that we fail not finally to attain thy heavenly promises, through the merits of Jesus Christ our Lord. Amen.",The Saturday in the Fourteenth Week After Trinity,Green
09-06,"Almighty and everlasting God, give unto us the increase of faith, hope, and charity; and, that we may obtain that which thou dost promise, make us to love that which thou dost command, through Jesus Christ our Lord. Amen.",The Fourteenth Sunday after Trinity,Green
09-07,"Almighty and everlasting God, give unto us the increase of faith, hope, and charity; and, that we may obtain that which thou dost promise, make us to love that which thou dost command, through Jesus Christ our Lord. Amen.",The Monday in the Fifteenth Week After Trinity,Green
09-08,"Almighty and everlasting God, give unto us the increase of faith, hope, and charity; and, that we may obtain that which thou dost promise, make us to love that which thou dost command, through Jesus Christ our Lord. Amen.",The Tuesday in the Fifteenth Week After Trinity,Green
09-09,"Almighty and everlasting God, give unto us the increase of faith, hope, and charity; and, that we may obtain that which thou dost promise, make us to love that which thou dost command, through Jesus Christ our Lord. Amen.",The Wednesday in the Fifteenth Week After Trinity,Green
09-10,"Almighty and everlasting God, give unto us the increase of faith, hope, and charity; and, that we may obtain that which thou dost promise, make us to love that which thou dost command, through Jesus Christ our Lord. Amen.",The Thursday in the Fifteenth Week After Trinity,Green
09-11,"Almighty and everlasting God, give unto us the increase of faith, hope, and charity; and, that we may obtain that which thou dost promise, make us to love that which thou dost command, through Jesus Christ our Lord. Amen.",The Friday in the Fifteenth Week After Trinity,Green
09-12,"Almighty and everlasting God, give unto us the increase of faith, hope, and charity; and, that we may obtain that which thou dost promise, make us to love that which thou dost command, through Jesus Christ our Lord. Amen.",The Saturday in the Fifteenth Week After Trinity,Green
09-13,"Keep, we beseech thee, O Lord, thy church with thy perpetual mercy, and, because the frailty of man without thee cannot but fall, keep us ever by thy help from all things hurtful, and lead us to all things profitable to our salvation, through Jesus Christ our Lord. Amen.",The Fifteenth Sunday after Trinity,Green
09-14,"Keep, we beseech thee, O Lord, thy church with thy perpetual mercy, and, because the frailty of man without thee cannot but fall, keep us ever by thy help from all things hurtful, and lead us to all things profitable to our salvation, through Jesus Christ our Lord. Amen.",The Monday in the Sixteenth Week After Trinity,Green
09-15,"Keep, we beseech thee, O Lord, thy church with thy perpetual mercy, and, because the frailty of man without thee cannot but fall, keep us ever by thy help from all things hurtful, and lead us to all things profitable to our salvation, through Jesus Christ our Lord. Amen.",The Tuesday in the Sixteenth Week After Trinity,Green
09-16,"Keep, we beseech thee, O Lord, thy church with thy perpetual mercy, and, because the frailty of man without thee cannot but fall, keep us ever by thy help from all things hurtful, and lead us to all things profitable to our salvation, through Jesus Christ our Lord. Amen.",The Wednesday in the Sixteenth Week After Trinity,Green
09-17,"Keep, we beseech thee, O Lord, thy church with thy perpetual mercy, and, because the frailty of man without thee cannot but fall, keep us ever by thy help from all things hurtful, and lead us to all things profitable to our salvation, through Jesus Christ our Lord. Amen.",The Thursday in the Sixteenth Week After Trinity,Green
09-18,"Keep, we beseech thee, O Lord, thy church with thy perpetual mercy, and, because the frailty of man without thee cannot but fall, keep us ever by thy help from all things hurtful, and lead us to all things profitable to our salvation, through Jesus Christ our Lord. Amen.",The Friday in the Sixteenth Week After Trinity,Green
09-19,"Keep, we beseech thee, O Lord, thy church with thy perpetual mercy, and, because the frailty of man without thee cannot but fall, keep us ever by thy help from all things hurtful, and lead us to all things profitable to our salvation, through Jesus Christ our Lord. Amen.",The Saturday in the Sixteenth Week After Trinity,Green
09-20,"O Lord, we beseech thee, let thy continual pity cleanse and defend thy church, and, because it cannot continue in safety without thy succour, preserve it evermore by thy help and goodness, through Jesus Christ our Lord. Amen.",The Sixteenth Sunday after Trinity,Green
09-21,"O almighty God, who by thy blessed Son didst call Matthew from the receipt of custom to be an apostle and evangelist: Grant us grace to forsake all covetous desires and inordinate love of riches, and to follow the same thy Son Jesus Christ, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.","Saint Matthew, Apostle, Evangelist and Martyr",Red
09-22,"O Lord, we beseech thee, let thy continual pity cleanse and defend thy church, and, because it cannot continue in safety without thy succour, preserve it evermore by thy help and goodness, through Jesus Christ our Lord. Amen.",The Tuesday in the Seventeenth Week After Trinity,Green
09-23,"O Lord, we beseech thee, let thy continual pity cleanse and defend thy church, and, because it cannot continue in safety without thy succour, preserve it evermore by thy help and goodness, through Jesus Christ our Lord. Amen.",The Wednesday in the Seventeenth Week After Trinity,Green
09-24,"O Lord, we beseech thee, let thy continual pity cleanse and defend thy church, and, because it cannot continue in safety without thy succour, preserve it evermore by thy help and goodness, through Jesus Christ our Lord. Amen.",The Thursday in the Seventeenth Week After Trinity,Green
09-25,"O Lord, we beseech thee, let thy continual pity cleanse and defend thy church, and, because it cannot continue in safety without thy succour, preserve it evermore by thy help and goodness, through Jesus Christ our Lord. Amen.",The Friday in the Seventeenth Week After Trinity,Green
09-26,"O Lord, we beseech thee, let thy continual pity cleanse and defend thy church, and, because it cannot continue in safety without thy succour, preserve it evermore by thy help and goodness, through Jesus Christ our Lord. Amen.",The Saturday in the Seventeenth Week After Trinity,Green
09-27,"Lord, we pray thee that thy grace may always prevent and follow us, and make us continually to be given to all good works, through Jesus Christ our Lord. Amen.",The Seventeenth Sunday after Trinity,Green
09-28,"Lord, we pray thee that thy grace may always prevent and follow us, and make us continually to be given to all good works, through Jesus Christ our Lord. Amen.",The Monday in the Eighteenth Week After Trinity,Green
09-29,"O everlasting God, who hast ordained and constituted the services of angels and men in a wonderful order: Mercifully grant that as thy holy angels alway do thee service in heaven, so by thy appointment they may succour and defend us on earth, through Jesus Christ our Lord. Amen.",Saint Michael and All Angels (Michaelmas),White
09-30,"Lord, we pray thee that thy grace may always prevent and follow us, and make us continually to be given to all good works, through Jesus Christ our Lord. Amen.",The Wednesday in the Eighteenth Week After Trinity,Green
10-01,"Lord, we pray thee that thy grace may always prevent and follow us, and make us continually to be given to all good works, through Jesus Christ our Lord. Amen.",The Thursday in the Eighteenth Week After Trinity,Green
10-02,"Lord, we pray thee that thy grace may always prevent and follow us, and make us continually to be given to all good works, through Jesus Christ our Lord. Amen.",The Friday in the Eighteenth Week After Trinity,Green
10-03,"Lord, we pray thee that thy grace may always prevent and follow us, and make us continually to be given to all good works, through Jesus Christ our Lord. Amen.",The Saturday in the Eighteenth Week After Trinity,Green
10-04,"Lord, we beseech thee, grant thy people grace to withstand the temptations of the world, the flesh, and the devil, and with pure hearts and minds to follow thee, the only God, through Jesus Christ our Lord. Amen.",The Eighteenth Sunday after Trinity,Green
10-05,"Lord, we beseech thee, grant thy people grace to withstand the temptations of the world, the flesh, and the devil, and with pure hearts and minds to follow thee, the only God, through Jesus Christ our Lord. Amen.",The Monday in the Nineteenth Week After Trinity,Green
10-06,"Lord, we beseech thee, grant thy people grace to withstand the temptations of the world, the flesh, and the devil, and with pure hearts and minds to follow thee, the only God, through Jesus Christ our Lord. Amen.",The Tuesday in the Nineteenth Week After Trinity,Green
10-07,"Lord, we beseech thee, grant thy people grace to withstand the temptations of the world, the flesh, and the devil, and with pure hearts and minds to follow thee, the only God, through Jesus Christ our Lord. Amen.",The Wednesday in the Nineteenth Week After Trinity,Green
10-08,"Lord, we beseech thee, grant thy people grace to withstand the temptations of the world, the flesh, and the devil, and with pure hearts and minds to follow thee, the only God, through Jesus Christ our Lord. Amen.",The Thursday in the Nineteenth Week After Trinity,Green
10-09,"Lord, we beseech thee, grant thy people grace to withstand the temptations of the world, the flesh, and the devil, and with pure hearts and minds to follow thee, the only God, through Jesus Christ our Lord. Amen.",The Friday in the Nineteenth Week After Trinity,Green
10-10,"Lord, we beseech thee, grant thy people grace to withstand the temptations of the world, the flesh, and the devil, and with pure hearts and minds to follow thee, the only God, through Jesus Christ our Lord. Amen.",The Saturday in the Nineteenth Week After Trinity,Green
10-11,"O God, forasmuch as without thee we are not able to please thee, mercifully grant that thy Holy Spirit may in all things direct and rule our hearts, through Jesus Christ our Lord. Amen.",The Nineteenth Sunday after Trinity,Green
10-12,"O God, forasmuch as without thee we are not able to please thee, mercifully grant that thy Holy Spirit may in all things direct and rule our hearts, through Jesus Christ our Lord. Amen.",The Monday in the Twentieth Week After Trinity,Green
10-13,"O God, forasmuch as without thee we are not able to please thee, mercifully grant that thy Holy Spirit may in all things direct and rule our hearts, through Jesus Christ our Lord. Amen.",The Tuesday in the Twentieth Week After Trinity,Green
10-14,"O God, forasmuch as without thee we are not able to please thee, mercifully grant that thy Holy Spirit may in all things direct and rule our hearts, through Jesus Christ our Lord. Amen.",The Wednesday in the Twentieth Week After Trinity,Green
10-15,"O God, forasmuch as without thee we are not able to please thee, mercifully grant that thy Holy Spirit may in all things direct and rule our hearts, through Jesus Christ our Lord. Amen.",The Thursday in the Twentieth Week After Trinity,Green
10-16,"O God, forasmuch as without thee we are not able to please thee, mercifully grant that thy Holy Spirit may in all things direct and rule our hearts, through Jesus Christ our Lord. Amen.",The Friday in the Twentieth Week After Trinity,Green
10-17,"O God, forasmuch as without thee we are not able to please thee, mercifully grant that thy Holy Spirit may in all things direct and rule our hearts, through Jesus Christ our Lord. Amen.",The Saturday in the Twentieth Week After Trinity,Green
10-18,"Almighty God, who calledst Luke the physician, whose praise is in the gospel, to be an evangelist and physician of the soul: May it please thee that, by the wholesome medicines of the doctrine delivered by him, all the diseases of our souls may be healed, through the merits of thy Son Jesus Christ our Lord. Amen.","Saint Luke, Evangelist",Red
10-19,"O Almighty and most merciful God, of thy bountiful goodness keep us, we beseech thee, from all things that may hurt us, that we, being ready both in body and soul, may cheerfully accomplish those things that thou wouldest have done, through Jesus Christ our Lord. Amen.",The Monday in the Twenty-First Week After Trinity,Green
10-20,"O Almighty and most merciful God, of thy bountiful goodness keep us, we beseech thee, from all things that may hurt us, that we, being ready both in body and soul, may cheerfully accomplish those things that thou wouldest have done, through Jesus Christ our Lord. Amen.",The Tuesday in the Twenty-First Week After Trinity,Green
10-21,"O Almighty and most merciful God, of thy bountiful goodness keep us, we beseech thee, from all things that may hurt us, that we, being ready both in body and soul, may cheerfully accomplish those things that thou wouldest have done, through Jesus Christ our Lord. Amen.",The Wednesday in the Twenty-First Week After Trinity,Green
10-22,"O Almighty and most merciful God, of thy bountiful goodness keep us, we beseech thee, from all things that may hurt us, that we, being ready both in body and soul, may cheerfully accomplish those things that thou wouldest have done, through Jesus Christ our Lord. Amen.",The Thursday in the Twenty-First Week After Trinity,Green
10-23,"O Almighty and most merciful God, of thy bountiful goodness keep us, we beseech thee, from all things that may hurt us, that we, being ready both in body and soul, may cheerfully accomplish those things that thou wouldest have done, through Jesus Christ our Lord. Amen.",The Friday in the Twenty-First Week After Trinity,Green
10-24,"O Almighty and most merciful God, of thy bountiful goodness keep us, we beseech thee, from all things that may hurt us, that we, being ready both in body and soul, may cheerfully accomplish those things that thou wouldest have done, through Jesus Christ our Lord. Amen.",The Saturday in the Twenty-First Week After Trinity,Green
10-25,"Grant, we beseech thee, merciful Lord, to thy faithful people pardon and peace, that they may be cleansed from all their sins, and serve thee with a quiet mind, through Jesus Christ our Lord. Amen.",The Twenty-First Sunday after Trinity,Green
10-26,"Grant, we beseech thee, merciful Lord, to thy faithful people pardon and peace, that they may be cleansed from all their sins, and serve thee with a quiet mind, through Jesus Christ our Lord. Amen.",The Monday in the Twenty-Second Week After Trinity,Green
10-27,"Grant, we beseech thee, merciful Lord, to thy faithful people pardon and peace, that they may be cleansed from all their sins, and serve thee with a quiet mind, through Jesus Christ our Lord. Amen.",The Tuesday in the Twenty-Second Week After Trinity,Green
10-28,"Grant, we beseech thee, merciful Lord, to thy faithful people pardon and peace, that they may be cleansed from all their sins, and serve thee with a quiet mind, through Jesus Christ our Lord. Amen.","Saint Simon and Saint Jude, Apostles and Martyrs",Red
10-29,"Grant, we beseech thee, merciful Lord, to thy faithful people pardon and peace, that they may be cleansed from all their sins, and serve thee with a quiet mind, through Jesus Christ our Lord. Amen.",The Thursday in the Twenty-Second Week After Trinity,Green
10-30,"Grant, we beseech thee, merciful Lord, to thy faithful people pardon and peace, that they may be cleansed from all their sins, and serve thee with a quiet mind, through Jesus Christ our Lord. Amen.",The Friday in the Twenty-Second Week After Trinity,Green
10-31,"Grant, we beseech thee, merciful Lord, to thy faithful people pardon and peace, that they may be cleansed from all their sins, and serve thee with a quiet mind, through Jesus Christ our Lord. Amen.",The Saturday in the Twenty-Second Week After Trinity,Green
11-01,"O almighty God, who hast knit together thine elect in one communion and fellowship, in the mystical body of thy Son Christ our Lord: Grant us grace so to follow thy blessed saints in all virtuous and godly living, that we may come to those unspeakable joys, which thou hast prepared for those who unfeignedly love thee, through Jesus Christ our Lord. Amen.",All Saints’ Day,White
11-02,"Lord, we beseech thee to keep thy household the church in continual godliness, that through thy protection it may be free from all adversities, and devoutly given to serve thee in good works, to the glory of thy name, through Jesus Christ our Lord. Amen.",The Monday in the Twenty-Third Week After Trinity,Green
11-03,"Lord, we beseech thee to keep thy household the church in continual godliness, that through thy protection it may be free from all adversities, and devoutly given to serve thee in good works, to the glory of thy name, through Jesus Christ our Lord. Amen.",The Tuesday in the Twenty-Third Week After Trinity,Green
11-04,"Lord, we beseech thee to keep thy household the church in continual godliness, that through thy protection it may be free from all adversities, and devoutly given to serve thee in good works, to the glory of thy name, through Jesus Christ our Lord. Amen.",The Wednesday in the Twenty-Third Week After Trinity,Green
11-05,"Lord, we beseech thee to keep thy household the church in continual godliness, that through thy protection it may be free from all adversities, and devoutly given to serve thee in good works, to the glory of thy name, through Jesus Christ our Lord. Amen.",The Thursday in the Twenty-Third Week After Trinity,Green
11-06,"Lord, we beseech thee to keep thy household the church in continual godliness, that through thy protection it may be free from all adversities, and devoutly given to serve thee in good works, to the glory of thy name, through Jesus Christ our Lord. Amen.",The Friday in the Twenty-Third Week After Trinity,Green
11-07,"Lord, we beseech thee to keep thy household the church in continual godliness, that through thy protection it may be free from all adversities, and devoutly given to serve thee in good works, to the glory of thy name, through Jesus Christ our Lord. Amen.",The Saturday in the Twenty-Third Week After Trinity,Green
11-08,"O God, our refuge and strength, who art the author of all godliness: Be ready, we beseech thee, to hear the devout prayers of thy church, and grant that those things which we ask faithfully, we may obtain effectually, through Jesus Christ our Lord. Amen.",The Twenty-Third Sunday after Trinity,Green
11-09,"O God, our refuge and strength, who art the author of all godliness: Be ready, we beseech thee, to hear the devout prayers of thy church, and grant that those things which we ask faithfully, we may obtain effectually, through Jesus Christ our Lord. Amen.",The Monday in the Twenty-Fourth Week After Trinity,Green
11-10,"O God, our refuge and strength, who art the author of all godliness: Be ready, we beseech thee, to hear the devout prayers of thy church, and grant that those things which we ask faithfully, we may obtain effectually, through Jesus Christ our Lord. Amen.",The Tuesday in the Twenty-Fourth Week After Trinity,Green
11-11,"O God, our refuge and strength, who art the author of all godliness: Be ready, we beseech thee, to hear the devout prayers of thy church, and grant that those things which we ask faithfully, we may obtain effectually, through Jesus Christ our Lord. Amen.",The Wednesday in the Twenty-Fourth Week After Trinity,Green
11-12,"O God, our refuge and strength, who art the author of all godliness: Be ready, we beseech thee, to hear the devout prayers of thy church, and grant that those things which we ask faithfully, we may obtain effectually, through Jesus Christ our Lord. Amen.",The Thursday in the Twenty-Fourth Week After Trinity,Green
11-13,"O God, our refuge and strength, who art the author of all godliness: Be ready, we beseech thee, to hear the devout prayers of thy church, and grant that those things which we ask faithfully, we may obtain effectually, through Jesus Christ our Lord. Amen.",The Friday in the Twenty-Fourth Week After Trinity,Green
11-14,"O God, our refuge and strength, who art the author of all godliness: Be ready, we beseech thee, to hear the devout prayers of thy church, and grant that those things which we ask faithfully, we may obtain effectually, through Jesus Christ our Lord. Amen.",The Saturday in the Twenty-Fourth Week After Trinity,Green
11-15,"O Lord, we beseech thee, absolve thy people from their offences, that through thy bountiful goodness we may all be delivered from the bands of those sins which by our frailty we have committed. Grant this, O heavenly Father, for Jesus Christ’s sake, our blessed Lord and Saviour. Amen.",The Twenty-Fourth Sunday after Trinity,Green
11-16,"O Lord, we beseech thee, absolve thy people from their offences, that through thy bountiful goodness we may all be delivered from the bands of those sins which by our frailty we have committed. Grant this, O heavenly Father, for Jesus Christ’s sake, our blessed Lord and Saviour. Amen.",The Monday in the Twenty-Fifth Week After Trinity,Green
11-17,"O Lord, we beseech thee, absolve thy people from their offences, that through thy bountiful goodness we may all be delivered from the bands of those sins which by our frailty we have committed. Grant this, O heavenly Father, for Jesus Christ’s sake, our blessed Lord and Saviour. Amen.",The Tuesday in the Twenty-Fifth Week After Trinity,Green
11-18,"O Lord, we beseech thee, absolve thy people from their offences, that through thy bountiful goodness we may all be delivered from the bands of those sins which by our frailty we have committed. Grant this, O heavenly Father, for Jesus Christ’s sake, our blessed Lord and Saviour. Amen.",The Wednesday in the Twenty-Fifth Week After Trinity,Green
11-19,"O Lord, we beseech thee, absolve thy people from their offences, that through thy bountiful goodness we may all be delivered from the bands of those sins which by our frailty we have committed. Grant this, O heavenly Father, for Jesus Christ’s sake, our blessed Lord and Saviour. Amen.",The Thursday in the Twenty-Fifth Week After Trinity,Green
11-20,"O Lord, we beseech thee, absolve thy people from their offences, that through thy bountiful goodness we may all be delivered from the bands of those sins which by our frailty we have committed. Grant this, O heavenly Father, for Jesus Christ’s sake, our blessed Lord and Saviour. Amen.",The Friday in the Twenty-Fifth Week After Trinity,Green
11-21,"O Lord, we beseech thee, absolve thy people from their offences, that through thy bountiful goodness we may all be delivered from the bands of those sins which by our frailty we have committed. Grant this, O heavenly Father, for Jesus Christ’s sake, our blessed Lord and Saviour. Amen.",The Saturday in the Twenty-Fifth Week After Trinity,Green
11-22,"Stir up, we beseech thee, O Lord, the wills of thy faithful people, that they, plenteously bringing forth the fruit of good works, may of thee be plenteously rewarded, through Jesus Christ our Lord. Amen.",The Sunday Next before Advent,Green
11-23,"Stir up, we beseech thee, O Lord, the wills of thy faithful people, that they, plenteously bringing forth the fruit of good works, may of thee be plenteously rewarded, through Jesus Christ our Lord. Amen.",The Monday in the Last Week After Pentecost,Green
11-24,"Stir up, we beseech thee, O Lord, the wills of thy faithful people, that they, plenteously bringing forth the fruit of good works, may of thee be plenteously rewarded, through Jesus Christ our Lord. Amen.",The Tuesday in the Last Week After Pentecost,Green
11-25,"Stir up, we beseech thee, O Lord, the wills of thy faithful people, that they, plenteously bringing forth the fruit of good works, may of thee be plenteously rewarded, through Jesus Christ our Lord. Amen.",The Wednesday in the Last Week After Pentecost,Green
11-26,"Stir up, we beseech thee, O Lord, the wills of thy faithful people, that they, plenteously bringing forth the fruit of good works, may of thee be plenteously rewarded, through Jesus Christ our Lord. Amen.",The Thursday in the Last Week After Pentecost,Green
11-27,"Stir up, we beseech thee, O Lord, the wills of thy faithful people, that they, plenteously bringing forth the fruit of good works, may of thee be plenteously rewarded, through Jesus Christ our Lord. Amen.",The Friday in the Last Week After Pentecost,Green
11-28,"Stir up, we beseech thee, O Lord, the wills of thy faithful people, that they, plenteously bringing forth the fruit of good works, may of thee be plenteously rewarded, through Jesus Christ our Lord. Amen.",The Saturday in the Last Week After Pentecost,Green
11-29,"Almighty God, give us grace that we may cast away the works of darkness, and put upon us the armour of light, now in the time of this mortal life, in which thy Son Jesus Christ came to visit us in great humility, that in the last day, when he shall come again in his glorious majesty, to judge both the quick and the dead, we may rise to the life immortal, through him who liveth and reigneth with thee and the Holy Ghost, now and ever. Amen.",The First Sunday in Advent (Advent Sunday),Purple
11-30,"Almighty God, who didst give such grace unto thy holy apostle Saint Andrew, that he readily obeyed the calling of thy Son Jesus Christ, and followed him without delay: Grant unto us all, that we, being called by thy holy word, may forthwith give up ourselves obediently to fulfil thy holy commandments, through the same Jesus Christ our Lord. Amen.","Saint Andrew, Apostle and Martyr (Andermas)",Red
12-01,"Almighty God, give us grace that we may cast away the works of darkness, and put upon us the armour of light, now in the time of this mortal life, in which thy Son Jesus Christ came to visit us in great humility, that in the last day, when he shall come again in his glorious majesty, to judge both the quick and the dead, we may rise to the life immortal, through him who liveth and reigneth with thee and the Holy Ghost, now and ever. Amen.",The First Tuesday of Advent,Purple
12-02,"Almighty God, give us grace that we may cast away the works of darkness, and put upon us the armour of light, now in the time of this mortal life, in which thy Son Jesus Christ came to visit us in great humility, that in the last day, when he shall come again in his glorious majesty, to judge both the quick and the dead, we may rise to the life immortal, through him who liveth and reigneth with thee and the Holy Ghost, now and ever. Amen.",The First Wednesday of Advent,Purple
12-03,"Almighty God, give us grace that we may cast away the works of darkness, and put upon us the armour of light, now in the time of this mortal life, in which thy Son Jesus Christ came to visit us in great humility, that in the last day, when he shall come again in his glorious majesty, to judge both the quick and the dead, we may rise to the life immortal, through him who liveth and reigneth with thee and the Holy Ghost, now and ever. Amen.",The First Thursday of Advent,Purple
